Term,Easy,Formal
biomarker testing,A lab test of any molecule in your body that can be measured to assess your health. Also called molecular testing.,"A laboratory method that uses a sample of tissue, blood, or other body fluid to check for certain genes, proteins, or other molecules that may be a sign of a disease or condition, such as cancer. Biomarker testing can also be used to check for certain changes in a gene or chromosome that may increase a person’s risk of developing cancer or other diseases. Biomarker testing may be done with other procedures, such as biopsies, to help diagnose some types of cancer. It may also be used to help plan treatment, find out how well treatment is working, make a prognosis, or predict whether cancer will come back or spread to other parts of the body. Also called molecular profiling and molecular testing."
biopsy,A procedure that removes fluid or tissue samples to be tested for a disease.,"The removal of cells or tissues for examination by a pathologist. The pathologist may study the tissue under a microscope or perform other tests on the cells or tissue. There are many different types of biopsy procedures. The most common types include: (1) incisional biopsy, in which only a sample of tissue is removed; (2) excisional biopsy, in which an entire lump or suspicious area is removed; and (3) needle biopsy, in which a sample of tissue or fluid is removed with a needle. When a wide needle is used, the procedure is called a core biopsy. When a thin needle is used, the procedure is called a fine-needle aspiration biopsy."
chromosome,"Part of a cell that contains genetic information. Except for sperm and eggs, all human cells contain 46 chromosomes.","Part of a cell that contains genetic information. Except for sperm and eggs, all human cells contain 46 chromosomes."
clinical trial,A type of research that assesses health tests or treatments.,"A type of research study that tests how well new medical approaches work in people. These studies test new methods of screening, prevention, diagnosis, or treatment of a disease. Also called clinical study."
fertility,The ability to produce children.,The ability to produce children.
fertility preservation,A way to preserve or protect the ability to become pregnant and have a baby.,"A type of procedure used to help keep a person’s ability to have children. A fertility preservation procedure is done before a medical treatment that may cause infertility, such as radiation therapy or chemotherapy. Examples of fertility preservation procedures include sperm banking, egg freezing, in vitro fertilization with embryo freezing, and certain types of surgery for cervical and ovarian cancer."
gene,"The functional and physical unit of heredity passed from parent to offspring. Genes are pieces of DNA, and most genes contain the information for making a specific protein.","The functional and physical unit of heredity passed from parent to offspring. Genes are pieces of DNA, and most genes contain the information for making a specific protein."
gynecologic oncologist,A doctor who’s an expert in reproductive cancers of those assigned female at birth.,A doctor who has special training in diagnosing and treating cancers of the female reproductive organs.
hormone,A chemical in the body that triggers a response from cells or organs.,One of many substances made by glands in the body. Hormones circulate in the bloodstream and control the actions of certain cells or organs. Some hormones can also be made in the laboratory.
medical oncologist,A doctor who treats cancer in adults using systemic therapy.,"A doctor who has special training in diagnosing and treating cancer in adults using chemotherapy, hormonal therapy, biological therapy, and targeted therapy. A medical oncologist often is the main health care provider for someone who has cancer. A medical oncologist also gives supportive care and may coordinate treatment given by other specialists."
