term,formal_definition,simplified_explanation,formal_fk_grade,formal_flesch_ease,formal_smog,formal_gunning_fog,formal_dale_chall,formal_text_standard,formal_word_count,formal_avg_word_length,formal_avg_syllables_per_word,formal_type_token_ratio,formal_long_word_percentage,simplified_fk_grade,simplified_flesch_ease,simplified_smog,simplified_gunning_fog,simplified_dale_chall,simplified_text_standard,simplified_word_count,simplified_avg_word_length,simplified_avg_syllables_per_word,simplified_type_token_ratio,simplified_long_word_percentage,improvement_fk_grade,improvement_flesch_ease,improvement_smog,improvement_gunning_fog,improvement_dale_chall,improvement_word_length,improvement_syllables,improvement_long_word_percentage,easy_definition
biomarker testing,"biomarker testing is A laboratory method that uses a sample of tissue, blood, or other body fluid to check for certain genes, proteins, or other molecules that may be a sign of a disease or condition, such as cancer. Biomarker testing can also be used to check for certain changes in a gene or chromosome that may increase a person’s risk of developing cancer or other diseases. Biomarker testing may be done with other procedures, such as biopsies, to help diagnose some types of cancer. It may also be used to help plan treatment, find out how well treatment is working, make a prognosis, or predict whether cancer will come back or spread to other parts of the body. Also called molecular profiling and molecular testing.","Okay, I've got it! Here's my attempt to explain biomarker testing in simple language:

Biomarker testing is like a special kind of detective work for doctors. They take a tiny bit of your body fluid, like blood or a piece of tissue, and look for specific clues that could tell them if you have a disease or not. These clues are like fingerprints for your body - they can show if something is wrong and where it might be coming from. This test can help doctors figure out how well treatment is working, see if the cancer might come back, or even predict if you're at risk for getting sick again. It's like having a secret code that only the doctor can read, and it helps them figure out what's going on inside your body.</s>",11.5,55.58,12.3,13.6,9.3,11th and 12th grade,137,4.021897810218978,1.3284671532846715,0.5547445255474452,9.48905109489051,8.2,74.83,7.2,9.6,7.02,6th and 7th grade,151,3.6821192052980134,1.1059602649006623,0.6754966887417219,1.9867549668874174,3.3000000000000007,19.25,5.1000000000000005,4.0,2.280000000000001,0.3397786049209648,0.22250688838400912,7.502296128003092,A lab test of any molecule in your body that can be measured to assess your health. Also called molecular testing.
biopsy,"biopsy is The removal of cells or tissues for examination by a pathologist. The pathologist may study the tissue under a microscope or perform other tests on the cells or tissue. There are many different types of biopsy procedures. The most common types include: (1) incisional biopsy, in which only a sample of tissue is removed; (2) excisional biopsy, in which an entire lump or suspicious area is removed; and (3) needle biopsy, in which a sample of tissue or fluid is removed with a needle. When a wide needle is used, the procedure is called a core biopsy. When a thin needle is used, the procedure is called a fine-needle aspiration biopsy.","Sure! Here's my attempt to explain the term ""biopsy"" in simple language:

A biopsy is like taking a small piece of evidence from your body to help doctors figure out if there might be something wrong with you. They use a special tool to take out just the right amount of tissue or fluid, and then they look at it under a microscope to see what's going on. There are different kinds of biopsies, like taking just a tiny bit of tissue or removing a whole lump. It's kind of like when you take a small bite out of a cake to see if it tastes good - doctors take a small bite out of your body to see how it's doing.</s>",10.2,53.51,12.5,11.61,8.69,8th and 9th grade,126,3.9047619047619047,1.3333333333333333,0.5079365079365079,12.698412698412698,11.4,66.61,9.5,13.26,6.84,13th and 14th grade,136,3.5441176470588234,1.1029411764705883,0.6176470588235294,3.6764705882352944,-1.200000000000001,13.100000000000001,3.0,-1.6500000000000004,1.8499999999999996,0.3606442577030813,0.23039215686274495,9.021942110177402,A procedure that removes fluid or tissue samples to be tested for a disease.
chromosome,"chromosome is Part of a cell that contains genetic information. Except for sperm and eggs, all human cells contain 46 chromosomes.","Sure, I'd be happy to help! Here's my explanation of the term ""chromosome"" for a non-medical person:

A chromosome is like a recipe book inside a cell. It contains all the instructions for how the cell should grow, develop, and work properly. Just like a recipe book has different recipes for different dishes, a chromosome has different genes that tell the cell how to do different things. And just like you need all the recipes in a recipe book to make a delicious meal, a cell needs all its chromosomes to function correctly. In humans, most cells have 46 chromosomes, except for sperm and egg cells which only have 46 or 47 chromosomes. So, chromosomes are super important for keeping our cells healthy and working properly!</s>",7.2,61.33,0.0,10.0,12.03,7th and 8th grade,23,4.3478260869565215,1.3478260869565217,0.9565217391304348,13.043478260869565,9.0,62.07,13.0,10.29,7.85,8th and 9th grade,146,3.958904109589041,1.2465753424657535,0.5821917808219178,15.068493150684931,-1.7999999999999998,0.740000000000002,-13.0,-0.28999999999999915,4.18,0.3889219773674806,0.10125074449076821,-2.025014889815367,"Part of a cell that contains genetic information. Except for sperm and eggs, all human cells contain 46 chromosomes."
clinical trial,"clinical trial is A type of research study that tests how well new medical approaches work in people. These studies test new methods of screening, prevention, diagnosis, or treatment of a disease. Also called clinical study.","Certainly! Here's my attempt to explain the term ""clinical trial"" in simple language for a non-medical person:

A clinical trial is like a test drive for new medical treatments. Imagine you're trying out a new car before buying it - you want to see how it performs on the road, right? In the same way, doctors run clinical trials to see how well a new medicine or procedure works in real people, like you or me. They compare the results of the trial to existing treatments to see if the new one is better. Just as you might try different cars before choosing the one you like best, doctors test different treatments in clinical trials to find the best one for patients.</s>",7.7,60.01,10.5,10.4,10.7,10th and 11th grade,40,4.4,1.375,0.775,12.5,10.1,64.64,11.6,11.07,7.5,11th and 12th grade,135,3.903703703703704,1.2148148148148148,0.6148148148148148,8.148148148148149,-2.3999999999999995,4.630000000000003,-1.0999999999999996,-0.6699999999999999,3.1999999999999993,0.49629629629629646,0.1601851851851852,4.351851851851851,A type of research that assesses health tests or treatments.
fertility,fertility is The ability to produce children.,"Sure, I'd be happy to help! Here's my explanation of the term ""fertility"" in simple language that a non-medical person could understand:

Fertility refers to the ability of a person or couple to have children. It's like planting seeds in soil - if the soil is good quality and there's enough water and sunlight, the seeds will grow into plants. In the same way, if a person or couple has healthy reproductive organs and the right conditions, they can create a new life. Fertility can be affected by many factors, such as age, overall health, and lifestyle choices. For example, some medications or medical conditions can affect fertility, just like how too much rain or not enough sunlight can prevent plants from growing. If someone is having trouble getting pregnant, they may need to see a doctor to figure out what's causing the problem and find a solution.</s>",8.0,48.47,0.0,9.07,9.2,7th and 8th grade,7,4.285714285714286,1.5714285714285714,1.0,14.285714285714285,10.1,59.23,11.2,11.24,7.96,10th and 11th grade,171,3.9941520467836256,1.239766081871345,0.6549707602339181,8.187134502923977,-2.0999999999999996,10.759999999999998,-11.2,-2.17,1.2399999999999993,0.29156223893066,0.33166248955722644,6.098579782790308,The ability to produce children.
fertility preservation,"fertility preservation is A type of procedure used to help keep a person’s ability to have children. A fertility preservation procedure is done before a medical treatment that may cause infertility, such as radiation therapy or chemotherapy. Examples of fertility preservation procedures include sperm banking, egg freezing, in vitro fertilization with embryo freezing, and certain types of surgery for cervical and ovarian cancer.","Fertility preservation is like saving seeds for planting a garden. When someone is about to go through medical treatment that might make them unable to have kids later on, they can do a procedure to save their eggs or sperm so they can use them later. It's like putting away some extra seeds in case they want to grow a beautiful flower or vegetable garden in the future. The medical treatments can be like a storm that could ruin the garden, but with fertility preservation, they can protect their chances of growing a family. Some common ways to do this are by freezing eggs or sperm, or by doing special surgeries to keep the reproductive organs safe from the medical treatment.</s>",14.2,26.81,15.9,17.42,11.23,13th and 14th grade,66,4.636363636363637,1.621212121212121,0.7727272727272727,22.727272727272727,10.1,64.64,11.2,11.07,8.17,10th and 11th grade,129,4.054263565891473,1.2713178294573644,0.6434108527131783,7.751937984496124,4.1,37.83,4.700000000000001,6.350000000000001,3.0600000000000005,0.5821000704721637,0.3498942917547567,14.975334742776603,A way to preserve or protect the ability to become pregnant and have a baby.
gene,"gene is The functional and physical unit of heredity passed from parent to offspring. Genes are pieces of DNA, and most genes contain the information for making a specific protein.","Sure! Here's my attempt to explain the term ""gene"" in a way that's easy to understand for a non-medical person:

A gene is like a recipe book for your body. It contains instructions on how to make different proteins that help your body work properly. Just like a recipe book has recipes for different dishes, a gene has instructions for creating different proteins that do different jobs in your body. These proteins can help you grow, repair yourself, and fight off sicknesses. And just like how you need multiple recipes to make a delicious meal, your body needs multiple genes to make all the proteins it needs to stay healthy.

For example, some genes might give you blue eyes, while others might help you digest food. Some genes might even help protect you against certain diseases. So, your genes are like a set of instructions that help your body function properly and keep you healthy.</s>",10.1,48.3,0.0,14.08,11.43,10th and 11th grade,32,4.59375,1.5625,0.84375,18.75,9.5,60.65,12.6,10.49,7.07,9th and 10th grade,175,4.177142857142857,1.2685714285714285,0.5257142857142857,12.571428571428573,0.5999999999999996,12.350000000000001,-12.6,3.59,4.359999999999999,0.41660714285714295,0.29392857142857154,6.178571428571427,"The functional and physical unit of heredity passed from parent to offspring. Genes are pieces of DNA, and most genes contain the information for making a specific protein."
gynecologic oncologist,gynecologic oncologist is A doctor who has special training in diagnosing and treating cancers of the female reproductive organs.,"Sure! Here's my attempt to explain the term ""gynecologic oncologist"" in a way that's easy to understand for a non-medical person:

A gynecologic oncologist is like a superhero for women's health. They are doctors who have special training to find and treat cancers of the female reproductive system, like ovarian cancer or uterine cancer. Imagine having a magic wand that can only fight bad guys inside your own body - that's what a gynecologic oncologist does! They use their knowledge and skills to help save lives and keep women healthy. Just like how you want a trustworthy friend by your side when you need help, a gynecologic oncologist is there to protect and care for you and your reproductive system.</s>",12.3,37.3,0.0,11.51,11.91,11th and 12th grade,18,5.0,1.6666666666666667,1.0,11.11111111111111,9.6,65.86,10.8,11.4,7.87,7th and 8th grade,129,3.9612403100775193,1.2170542635658914,0.6976744186046512,6.976744186046512,2.700000000000001,28.560000000000002,-10.8,0.10999999999999943,4.04,1.0387596899224807,0.4496124031007753,4.134366925064599,A doctor who’s an expert in reproductive cancers of those assigned female at birth.
hormone,hormone is One of many substances made by glands in the body. Hormones circulate in the bloodstream and control the actions of certain cells or organs. Some hormones can also be made in the laboratory.,"Sure, I'd be happy to help! Here's an explanation of the term ""hormone"" that's easy to understand and free of technical jargon:

A hormone is like a special messenger inside your body. It travels through your bloodstream and goes to different parts of your body, like a mailman delivering letters. When it gets there, it tells the cells or organs what to do, kind of like how you might give your friend instructions on how to get to a certain place. For example, if you have too much sugar in your blood, your pancreas might send out a hormone called insulin to tell your cells to take in some of that extra sugar so it doesn't build up and cause problems. Or, if you're feeling stressed, your adrenal glands might send out a hormone called cortisol to help you feel more calm and relaxed. Making hormones in a lab is like making copies of a letter - you start with one original letter, and then you make lots of copies of it to send out to different places.</s>",6.5,68.47,8.8,8.05,8.84,8th and 9th grade,37,4.324324324324325,1.3783783783783783,0.7297297297297297,8.108108108108109,9.4,71.78,11.2,12.42,7.96,11th and 12th grade,200,3.79,1.155,0.585,7.000000000000001,-2.9000000000000004,3.3100000000000023,-2.3999999999999986,-4.369999999999999,0.8799999999999999,0.5343243243243245,0.22337837837837826,1.108108108108108,A chemical in the body that triggers a response from cells or organs.
medical oncologist,"medical oncologist is A doctor who has special training in diagnosing and treating cancer in adults using chemotherapy, hormonal therapy, biological therapy, and targeted therapy. A medical oncologist often is the main health care provider for someone who has cancer. A medical oncologist also gives supportive care and may coordinate treatment given by other specialists.","Sure! Here's my attempt to explain the term ""medical oncologist"" in simple language:

A medical oncologist is a doctor who specializes in treating cancer. They have extra training beyond being a regular doctor to help people with cancer. They use different tools like chemotherapy, hormone therapy, or targeted therapy to try to kill the bad cells that are causing the cancer. They are usually the main doctor taking care of someone with cancer and work with other doctors to give the best care possible. They also try to make sure patients feel comfortable and don't have too many side effects from their treatments. It's like having a superhero for your body's cancer battle!</s>",13.2,29.55,14.6,14.68,10.57,12th and 13th grade,55,4.8545454545454545,1.690909090909091,0.7090909090909091,21.818181818181817,9.2,61.46,10.9,10.22,8.02,10th and 11th grade,128,4.1875,1.3125,0.6875,8.59375,4.0,31.91,3.6999999999999993,4.459999999999999,2.5500000000000007,0.6670454545454545,0.3784090909090909,13.224431818181817,A doctor who treats cancer in adults using systemic therapy.
