Original terms,NIH cancer institue,NIH cancer institue,National library of medicine,,,,,
ABCDE rule,,,"ABCDE stands for asymmetry, border, color, diameter and evolving",,,,,
Ablation,ablation,"In medicine, the removal or destruction of a body part or tissue or its function. Ablation may be performed by surgery, hormones, drugs, radiofrequency, heat, or other methods.",,,,,,
Absolute neutrophil count (ANC),absolute neutrophil count,A measure of the number of neutrophils in the blood.,,,,,,
Accelerated Partial Breast Irradiation (APBI),,,,,,,,
Acute lymphoblastic leukemia (ALL),acute lymphoblastic leukemia,"A type of leukemia (blood cancer) that comes on quickly and is fast growing. In acute lymphoblastic leukemia, there are too many lymphoblasts (immature white blood cells) in the blood and bone marrow. Also called acute lymphocytic leukemia and ALL.",,,,,,
Adenocarcinoma,adenocarcinoma,"Cancer that forms in the glandular tissue, which lines certain internal organs and makes and releases substances in the body, such as mucus, digestive juices, and other fluids. Most cancers of the breast, lung, esophagus, stomach, colon, rectum, pancreas, prostate, and uterus are adenocarcinomas.",,,,,,
Adenoma,adenoma,"A tumor that is not cancer. It starts in gland-like cells of the epithelial tissue (thin layer of tissue that covers organs, glands, and other structures within the body).",,,,,,
adjuvant treatment,adjuvant therapy,"Additional cancer treatment given after the primary treatment to lower the risk that the cancer will come back. Adjuvant therapy may include chemotherapy, radiation therapy, hormone therapy, targeted therapy, or biological therapy.",,,,,,
Adolescent and young adult (AYA),,,adolescents and young adults (AYAs) between the ages of 15 to 39,,,,,
adolescents and young adults (AYA),,,adolescents and young adults (AYAs) between the ages of 15 to 39,,,,,https://www.nigms.nih.gov/education/Pages/Glossary.aspx
adrenocortical carcinoma (ACC),adrenocortical carcinoma,"A rare cancer that forms in the outer layer of tissue of the adrenal gland (a small organ on top of each kidney that makes steroid hormones, adrenaline, and noradrenaline to control heart rate, blood pressure, and other body functions). Also called adrenocortical cancer and cancer of the adrenal cortex.",,,,,,
advanced melanoma,,,,,,,,
