# Oncology drug dictionary — GENERAL knowledge (not tuned to any test note)
# Columns: name<TAB>category<TAB>subclass<TAB>function
# category: ONCOLOGY (anticancer) | SUPPORTIVE (cancer-supportive care) |
#           SUPPORTIVE_OR_HOME (depends on context: chemo-supportive vs chronic home use) |
#           NON_CANCER (unrelated home/chronic medication — exclude from onc med fields)
# Usage: classify current_meds / supportive_meds; resolve borderline by context for SUPPORTIVE_OR_HOME.
# Names lowercase; generic and common brand on separate lines.
name	category	subclass	function
# ===================== ONCOLOGY: CHEMOTHERAPY (cytotoxic) =====================
doxorubicin	ONCOLOGY	chemo_anthracycline	cytotoxic anthracycline; cardiotoxic (needs baseline echo)
adriamycin	ONCOLOGY	chemo_anthracycline	brand of doxorubicin
liposomal doxorubicin	ONCOLOGY	chemo_anthracycline	liposomal doxorubicin (Doxil)
doxil	ONCOLOGY	chemo_anthracycline	liposomal doxorubicin
epirubicin	ONCOLOGY	chemo_anthracycline	anthracycline chemo (Ellence)
cyclophosphamide	ONCOLOGY	chemo_alkylator	alkylating agent
cytoxan	ONCOLOGY	chemo_alkylator	brand of cyclophosphamide
paclitaxel	ONCOLOGY	chemo_taxane	taxane microtubule inhibitor
taxol	ONCOLOGY	chemo_taxane	brand of paclitaxel
nab-paclitaxel	ONCOLOGY	chemo_taxane	albumin-bound paclitaxel
abraxane	ONCOLOGY	chemo_taxane	brand of nab-paclitaxel
docetaxel	ONCOLOGY	chemo_taxane	taxane chemo
taxotere	ONCOLOGY	chemo_taxane	brand of docetaxel
carboplatin	ONCOLOGY	chemo_platinum	platinum agent
cisplatin	ONCOLOGY	chemo_platinum	platinum agent
oxaliplatin	ONCOLOGY	chemo_platinum	platinum agent (FOLFIRINOX/FOLFOX)
capecitabine	ONCOLOGY	chemo_antimetabolite	oral fluoropyrimidine
xeloda	ONCOLOGY	chemo_antimetabolite	brand of capecitabine
fluorouracil	ONCOLOGY	chemo_antimetabolite	5-FU fluoropyrimidine
5-fu	ONCOLOGY	chemo_antimetabolite	5-fluorouracil
gemcitabine	ONCOLOGY	chemo_antimetabolite	nucleoside analog (pancreatic/breast)
gemzar	ONCOLOGY	chemo_antimetabolite	brand of gemcitabine
methotrexate	ONCOLOGY	chemo_antimetabolite	antifolate
pemetrexed	ONCOLOGY	chemo_antimetabolite	antifolate (Alimta)
irinotecan	ONCOLOGY	chemo_topoisomerase	topoisomerase I inhibitor
camptosar	ONCOLOGY	chemo_topoisomerase	brand of irinotecan
