"sample","field","score","comment"
"b1","current_meds","A",""
"b1","stage","TIE",""
"b1","distant_met","TIE",""
"b1","metastasis","A",""
"b1","response","A",""
"b1","type_receptor","TIE",""
"b1","genetic_results","TIE",""
"b1","genetic_plan","TIE",""
"b1","supportive_meds","TIE",""
"b1","procedure_plan","TIE",""
"b1","imaging_plan","TIE",""
"b1","lab_plan","TIE",""
"b1","medication_plan","A",""
"b1","recent_changes","TIE",""
"b2","current_meds","A",""
"b2","stage","A",""
"b2","distant_met","TIE",""
"b2","metastasis","A",""
"b2","response","TIE",""
"b2","type_receptor","B","HER2 not documented however A report HER2-"
"b2","genetic_results","TIE",""
"b2","genetic_plan","TIE",""
"b2","supportive_meds","A",""
"b2","procedure_plan","TIE",""
"b2","imaging_plan","TIE","both not correct, It should be no image"
"b2","lab_plan","TIE","The labs mentioned were already drawn at the visit:"
"b2","medication_plan","TIE",""
"b2","recent_changes","TIE",""
"b3","current_meds","A",""
"b3","stage","TIE",""
"b3","distant_met","TIE",""
"b3","metastasis","A",""
"b3","response","TIE",""
"b3","type_receptor","TIE",""
"b3","genetic_results","B",""
"b3","genetic_plan","TIE",""
"b3","supportive_meds","TIE",""
"b3","procedure_plan","TIE",""
"b3","imaging_plan","TIE","it ask for image, howevere Mammaprint is genetci testing "
"b3","lab_plan","TIE",""
"b3","medication_plan","TIE",""
"b3","recent_changes","TIE",""
"b4","current_meds","A",""
"b4","stage","TIE",""
"b4","distant_met","TIE",""
"b4","metastasis","A",""
"b4","response","A",""
"b4","type_receptor","TIE",""
"b4","genetic_results","TIE",""
"b4","genetic_plan","TIE",""
"b4","supportive_meds","TIE",""
"b4","procedure_plan","TIE",""
"b4","imaging_plan","TIE",""
"b4","lab_plan","TIE",""
"b4","medication_plan","A",""
"b4","recent_changes","A",""
"b5","current_meds","TIE",""
"b5","stage","TIE",""
"b5","distant_met","TIE",""
"b5","metastasis","A",""
"b5","response","A",""
"b5","type_receptor","TIE",""
"b5","genetic_results","TIE",""
"b5","genetic_plan","TIE",""
"b5","supportive_meds","TIE",""
"b5","imaging_plan","A",""
"b5","procedure_plan","A",""
"b5","lab_plan","TIE",""
"b5","medication_plan","TIE",""
"b5","recent_changes","TIE",""
"b6","current_meds","A",""
"b6","stage","TIE",""
"b6","distant_met","A",""
"b6","metastasis","TIE","BOTH ARE WRONG :"" Right axillary LN FNA: +metastatic breast adenoca """
"b6","response","A",""
"b6","type_receptor","A",""
"b6","genetic_results","TIE",""
"b6","genetic_plan","TIE",""
"b6","supportive_meds","TIE",""
"b6","procedure_plan","B",""
"b6","imaging_plan","A",""
"b6","lab_plan","TIE",""
"b6","medication_plan","TIE",""
"b6","recent_changes","TIE",""
"b7","current_meds","A",""
"b7","distant_met","TIE",""
"b7","stage","A",""
"b7","metastasis","A",""
"b7","response","TIE",""
"b7","type_receptor","A",""
"b7","genetic_plan","TIE",""
"b7","genetic_results","A",""
"b7","supportive_meds","TIE",""
"b7","procedure_plan","TIE",""
"b7","imaging_plan","B",""
"b7","lab_plan","TIE",""
"b7","medication_plan","TIE",""
"b7","recent_changes","A",""
"b8","current_meds","A",""
"b8","stage","A",""
"b8","distant_met","TIE",""
"b8","metastasis","A",""
"b8","response","A",""
"b8","type_receptor","TIE",""
"b8","genetic_results","TIE",""
"b8","genetic_plan","TIE",""
"b8","supportive_meds","TIE",""
"b8","procedure_plan","TIE",""
"b8","imaging_plan","TIE",""
"b8","lab_plan","TIE",""
"b8","medication_plan","TIE",""
"b8","recent_changes","TIE",""
"b9","current_meds","A",""
"b9","stage","TIE",""
"b9","distant_met","A",""
"b9","metastasis","A",""
"b9","response","A",""
"b9","type_receptor","TIE",""
"b9","genetic_results","TIE",""
"b9","genetic_plan","TIE",""
"b9","supportive_meds","TIE",""
"b9","procedure_plan","TIE",""
"b9","imaging_plan","TIE",""
"b9","lab_plan","TIE",""
"b9","medication_plan","TIE",""
"b9","recent_changes","TIE",""
"b10","current_meds","A",""
"b10","stage","TIE",""
"b10","distant_met","TIE",""
"b10","metastasis","A",""
"b10","response","TIE",""
"b10","type_receptor","TIE",""
"b10","genetic_results","TIE",""
"b10","genetic_plan","A",""
"b10","supportive_meds","TIE",""
"b10","procedure_plan","TIE",""
"b10","imaging_plan","B",""
"b10","lab_plan","TIE",""
"b10","medication_plan","TIE",""
"b10","recent_changes","TIE",""
"b11","current_meds","A",""
"b11","stage","TIE",""
"b11","distant_met","TIE",""
"b11","metastasis","A",""
"b11","response","TIE",""
"b11","type_receptor","TIE",""
"b11","genetic_results","TIE",""
"b11","genetic_plan","TIE",""
"b11","supportive_meds","TIE",""
"b11","procedure_plan","TIE",""
"b11","imaging_plan","TIE",""
"b11","lab_plan","TIE",""
"b11","medication_plan","TIE",""
"b11","recent_changes","A",""
"b12","current_meds","A",""
"b12","stage","TIE",""
"b12","distant_met","TIE",""
"b12","metastasis","TIE",""
"b12","response","TIE",""
"b12","type_receptor","TIE",""
"b12","genetic_results","TIE",""
"b12","genetic_plan","TIE",""
"b12","supportive_meds","TIE",""
"b12","procedure_plan","TIE",""
"b12","imaging_plan","TIE",""
"b12","lab_plan","TIE",""
