"sample","field","score","comment"
"b2","current_meds","A",""
"b2","stage","A",""
"b2","distant_met","TIE",""
"b2","metastasis","TIE",""
"b2","response","TIE",""
"b2","type_receptor","B","unsure if PR positive "
"b2","genetic_results","TIE",""
"b2","genetic_plan","TIE",""
"b2","supportive_meds","A",""
"b2","procedure_plan","TIE",""
"b2","imaging_plan","A","B gives results but didn't mention PET/CT"
"b2","lab_plan","B",""
"b2","medication_plan","TIE",""
"b2","recent_changes","A"," "
"b2","lab_summary","B",""
"b2","findings","A",""
"b3","current_meds","A",""
"b3","stage","TIE",""
"b3","distant_met","TIE",""
"b3","metastasis","TIE",""
"b3","response","TIE",""
"b3","type_receptor","TIE",""
"b3","genetic_results","A",""
"b3","genetic_plan","TIE",""
"b3","supportive_meds","TIE",""
"b3","procedure_plan","TIE",""
"b3","lab_plan","TIE",""
"b3","recent_changes","TIE",""
"b3","medication_plan","A",""
"b3","imaging_plan","A",""
"b3","lab_summary","TIE",""
"b3","findings","A",""
"b4","current_meds","A",""
"b4","stage","TIE",""
"b4","distant_met","TIE",""
"b4","metastasis","TIE",""
"b4","response","A",""
"b4","type_receptor","TIE",""
"b4","genetic_results","TIE",""
"b4","genetic_plan","TIE",""
"b4","supportive_meds","TIE",""
"b4","procedure_plan","TIE",""
"b4","imaging_plan","TIE",""
"b4","lab_plan","TIE",""
"b4","medication_plan","A",""
"b4","recent_changes","A",""
"b4","findings","A",""
"b4","lab_summary","TIE",""
"b5","current_meds","TIE",""
"b5","stage","TIE",""
"b5","distant_met","TIE",""
"b5","metastasis","A",""
"b5","response","TIE",""
"b5","type_receptor","TIE",""
"b5","genetic_results","TIE",""
"b5","genetic_plan","TIE",""
"b5","supportive_meds","TIE",""
"b5","imaging_plan","A",""
"b5","procedure_plan","A",""
"b5","lab_plan","TIE",""
"b5","medication_plan","A",""
"b5","recent_changes","TIE",""
"b6","current_meds","A",""
"b6","stage","TIE",""
"b6","distant_met","A",""
"b6","metastasis","TIE",""
"b6","response","B",""
"b6","type_receptor","A",""
"b6","genetic_results","TIE",""
"b6","genetic_plan","TIE",""
"b6","supportive_meds","TIE",""
"b6","imaging_plan","A",""
"b6","procedure_plan","B",""
"b6","lab_plan","TIE",""
"b6","medication_plan","TIE",""
"b6","recent_changes","TIE",""
"b7","current_meds","A",""
"b7","stage","A",""
"b7","distant_met","TIE",""
"b7","metastasis","A",""
"b7","response","A",""
"b7","type_receptor","TIE",""
"b7","genetic_results","A",""
"b7","genetic_plan","TIE",""
"p8","supportive_meds","A",""
"b7","supportive_meds","A",""
"b7","procedure_plan","TIE",""
"b7","imaging_plan","B",""
"b7","lab_plan","TIE",""
"b7","recent_changes","A",""
"b7","medication_plan","A",""
"b8","current_meds","A",""
"b8","stage","A",""
"b8","distant_met","TIE",""
"b8","metastasis","A",""
"b8","response","TIE",""
"b8","genetic_results","TIE",""
"b8","type_receptor","B",""
"b8","genetic_plan","TIE",""
"b8","supportive_meds","TIE",""
"b8","procedure_plan","TIE",""
"b8","imaging_plan","TIE",""
"b8","lab_plan","TIE",""
"b8","medication_plan","TIE",""
"b8","recent_changes","TIE",""
"b9","current_meds","A",""
"b9","stage","A",""
"b9","distant_met","A",""
"b9","metastasis","A",""
"b9","response","A",""
"b9","type_receptor","TIE",""
"b9","genetic_results","TIE",""
"b9","genetic_plan","TIE",""
"b9","supportive_meds","TIE",""
"b9","procedure_plan","TIE",""
"b9","imaging_plan","TIE",""
"b9","lab_plan","TIE",""
"b9","medication_plan","TIE",""
"b9","recent_changes","B",""
"b10","current_meds","B",""
"b10","stage","TIE",""
"b10","distant_met","TIE",""
"b10","metastasis","A",""
